Name,Category,Price
"Monitor SkyBlue 594",Electronics,261.54
"Monitor DarkSeaGreen 627",Electronics,261.39
"Tennis Racket Violet 574",Sports,260.98
"Yoga Mat MistyRose 794",Sports,260.76
"Mouse Lavender 155",Electronics,260.68
"Water Bottle DarkSlateGray 605",Sports,258.23
"Water Bottle PapayaWhip 987",Sports,257.58
"Smartwatch Gainsboro 593",Electronics,256.90
"Cycling Helmet Black 784",Sports,253.91
"Water Bottle RoyalBlue 505",Sports,253.20
"Water Bottle OrangeRed 309",Sports,252.74
"Yoga Mat Magenta 575",Sports,252.50
"Water Bottle Pink 540",Sports,249.10
"Headphones Snow 402",Electronics,249.08
"Blender LightBlue 934","Home & Kitchen",249.07
"Blender Moccasin 589","Home & Kitchen",248.57
"Tennis Racket LightCoral 743",Sports,248.33
"Yoga Mat Coral 963",Sports,247.92
"Tennis Racket PowderBlue 530",Sports,247.60
"Water Bottle BlueViolet 360",Sports,247.10
"Blender SandyBrown 186","Home & Kitchen",247.08
"Tennis Racket HoneyDew 154",Sports,245.99
"Water Bottle Chocolate 962",Sports,244.71
"Yoga Mat LightGray 141",Sports,244.31
"Lamp Beige 615","Home & Kitchen",242.24
"Monitor HoneyDew 990",Electronics,242.17
"Cookware Silver 779","Home & Kitchen",241.83
"Dumbbell DarkGoldenRod 952",Sports,241.26
"Air Fryer FireBrick 640","Home & Kitchen",240.98
"Air Fryer LightSalmon 269","Home & Kitchen",239.59
"Cookware Chartreuse 977","Home & Kitchen",238.21
"Cookware DarkBlue 945","Home & Kitchen",237.16
"Keyboard OldLace 381",Electronics,235.60
"Tennis Racket Tomato 690",Sports,235.50
"Dumbbell Coral 494",Sports,235.27
"Vacuum Azure 467","Home & Kitchen",235.25
"Yoga Mat LightGreen 346",Sports,234.86
"Water Bottle MistyRose 547",Sports,233.86
"Tennis Racket DarkViolet 693",Sports,233.47
"Webcam FloralWhite 474",Electronics,233.27
"Blender SkyBlue 837","Home & Kitchen",231.31
"Coffee Maker LightSeaGreen 124","Home & Kitchen",231.26
"Water Bottle FloralWhite 155",Sports,231.10
"Cycling Helmet LimeGreen 240",Sports,230.29
"Vacuum DeepSkyBlue 400","Home & Kitchen",229.45
"Vacuum Black 709","Home & Kitchen",228.50
"Tennis Racket Crimson 542",Sports,228.42
"Water Bottle DeepPink 471",Sports,225.97
"Air Fryer Tan 935","Home & Kitchen",225.17
"Yoga Mat OrangeRed 565",Sports,224.20
"Lamp DimGray 651","Home & Kitchen",223.90
"SSD Peru 608",Electronics,223.87
"Toaster DeepPink 977","Home & Kitchen",223.87
"Toaster MintCream 738","Home & Kitchen",223.44
"Headphones Cyan 374",Electronics,223.32
"Coffee Maker Silver 522","Home & Kitchen",222.94
"Headphones DarkOrange 820",Electronics,222.65
"Webcam Violet 724",Electronics,222.51
"Vacuum GoldenRod 183","Home & Kitchen",222.36
"Toaster DarkViolet 133","Home & Kitchen",219.49
"Blender MediumOrchid 472","Home & Kitchen",217.42
"Yoga Mat Sienna 226",Sports,217.39
"Tennis Racket Orange 677",Sports,216.93
"Dumbbell LightGray 248",Sports,216.41
"Headphones SpringGreen 668",Electronics,215.81
"Tennis Racket Pink 411",Sports,215.51
"Lamp Wheat 354","Home & Kitchen",215.31
"Cookware LightGoldenRodYellow 187","Home & Kitchen",213.16
"Dumbbell IndianRed 978",Sports,213.06
"Vacuum MediumVioletRed 553","Home & Kitchen",211.39
"Water Bottle Bisque 495",Sports,210.89
"Smartwatch Moccasin 101",Electronics,210.16
"Yoga Mat Navy 102",Sports,209.99
"Webcam DodgerBlue 584",Electronics,207.65
"Air Fryer DarkKhaki 150","Home & Kitchen",207.28
"Cookware Maroon 708","Home & Kitchen",207.01
"Toaster Chocolate 929","Home & Kitchen",206.55
"Vacuum Red 157","Home & Kitchen",204.78
"Water Bottle DarkSlateBlue 296",Sports,203.61
"Blender GreenYellow 299","Home & Kitchen",202.80
"Blender Silver 942","Home & Kitchen",202.62
"Smartwatch DarkGreen 452",Electronics,202.11
"SSD DarkCyan 815",Electronics,200.87
"Blender Black 164","Home & Kitchen",200.87
"Jacket MistyRose 326",Fashion,199.64
"Jeans Chocolate 310",Fashion,199.35
"Cookware BlueViolet 167","Home & Kitchen",199.21
"Jacket RosyBrown 185",Fashion,198.49
"Socks AntiqueWhite 910",Fashion,197.84
"Yoga Mat DarkSlateGray 692",Sports,197.83
"Cycling Helmet DarkKhaki 257",Sports,197.37
"Webcam SlateGray 700",Electronics,196.99
"Lamp Tomato 228","Home & Kitchen",196.45
"T-shirt PowderBlue 590",Fashion,195.98
"Toaster FloralWhite 898","Home & Kitchen",195.73
"Vacuum DarkSeaGreen 152","Home & Kitchen",195.53
"Cookware Fuchsia 435","Home & Kitchen",195.47
"Jeans AliceBlue 734",Fashion,195.08
"Headphones DarkOliveGreen 618",Electronics,195.07
"T-shirt Chocolate 138",Fashion,195.03
"Water Bottle OldLace 823",Sports,194.83
"Jacket Ivory 986",Fashion,194.49
"Sneakers FireBrick 838",Fashion,194.35
"Jeans OliveDrab 656",Fashion,194.13
"Jacket Lavender 559",Fashion,193.77
"Speaker Chocolate 784",Electronics,192.22
"Mouse White 248",Electronics,191.98
"Yoga Mat Sienna 447",Sports,191.48
"Jacket LimeGreen 762",Fashion,190.94
"Vacuum PeachPuff 924","Home & Kitchen",190.85
"Sneakers Snow 450",Fashion,190.16
"Socks GoldenRod 838",Fashion,190.03
"Headphones DeepPink 777",Electronics,189.96
"Air Fryer Silver 382","Home & Kitchen",189.15
"Dumbbell SeaGreen 419",Sports,188.77
"Dumbbell DarkOrchid 940",Sports,187.96
"Dress DeepPink 357",Fashion,187.57
"Vacuum LightSalmon 484","Home & Kitchen",187.10
"Tennis Racket AliceBlue 417",Sports,186.94
"Jacket SteelBlue 856",Fashion,186.60
"Air Fryer Tan 326","Home & Kitchen",185.93
"Water Bottle DarkOrchid 563",Sports,185.34
"Tennis Racket Snow 576",Sports,185.21
"Sneakers MediumPurple 434",Fashion,185.19
"Socks MediumPurple 426",Fashion,185.02
"T-shirt DarkOliveGreen 181",Fashion,184.88
"Sneakers DeepSkyBlue 742",Fashion,184.55
"Mouse LightSeaGreen 356",Electronics,184.20
"T-shirt Khaki 272",Fashion,184.16
"Mouse LightSlateGray 532",Electronics,184.15
"Water Bottle Gold 746",Sports,184.11
"Hoodie LightSeaGreen 861",Fashion,183.42
"Dumbbell LightCyan 723",Sports,183.39
"Mouse Lavender 472",Electronics,183.35
"Dress Linen 971",Fashion,182.58
"Jacket LimeGreen 606",Fashion,181.80
"Water Bottle Salmon 250",Sports,180.81
"Water Bottle SaddleBrown 207",Sports,180.71
"Lamp Violet 138","Home & Kitchen",180.33
"Vacuum YellowGreen 584","Home & Kitchen",180.28
"Coffee Maker DarkRed 165","Home & Kitchen",179.79
"Mouse Yellow 529",Electronics,179.77
"Mouse RosyBrown 419",Electronics,179.28
"Water Bottle MediumSlateBlue 685",Sports,179.06
"T-shirt GhostWhite 514",Fashion,178.64
"SSD PeachPuff 234",Electronics,177.84
"Vacuum LightSteelBlue 390","Home & Kitchen",176.90
"Cycling Helmet SlateBlue 853",Sports,176.58
"T-shirt MediumSlateBlue 812",Fashion,176.02
"Monitor Silver 768",Electronics,175.77
"Sneakers DarkTurquoise 442",Fashion,175.59
"Jeans MediumSeaGreen 625",Fashion,175.50
"Mouse MediumTurquoise 578",Electronics,174.27
"Speaker OrangeRed 371",Electronics,173.75
"Water Bottle DarkBlue 897",Sports,173.62
"Hoodie MediumAquaMarine 383",Fashion,173.37
"Jeans SpringGreen 823",Fashion,172.81
"Dumbbell DarkGreen 137",Sports,172.43
"Headphones CornflowerBlue 890",Electronics,171.64
"Dumbbell Olive 222",Sports,171.50
"T-shirt LightSeaGreen 857",Fashion,170.84
"Lamp Magenta 758","Home & Kitchen",170.53
"Tennis Racket DarkOrchid 119",Sports,170.17
"Jacket DarkGoldenRod 743",Fashion,170.12
"Toaster DarkKhaki 752","Home & Kitchen",169.54
"Socks Magenta 735",Fashion,168.73
"Dumbbell DimGray 661",Sports,168.18
"T-shirt LightPink 393",Fashion,168.18
"Lamp Wheat 233","Home & Kitchen",167.70
"Hoodie Wheat 563",Fashion,167.36
"Blender Sienna 204","Home & Kitchen",166.80
"Hoodie AliceBlue 477",Fashion,166.46
"Cookware Ivory 298","Home & Kitchen",165.92
"Lamp DarkRed 727","Home & Kitchen",165.42
"Jeans MediumSpringGreen 464",Fashion,164.83
"Air Fryer SteelBlue 586","Home & Kitchen",164.70
"T-shirt Aqua 792",Fashion,163.74
"Coffee Maker HotPink 267","Home & Kitchen",163.40
"Coffee Maker Red 435","Home & Kitchen",162.78
"Socks LightBlue 659",Fashion,162.70
"Sneakers DarkGoldenRod 297",Fashion,162.59
"Socks Crimson 461",Fashion,162.55
"Mouse DarkTurquoise 596",Electronics,162.22
"Cycling Helmet Aquamarine 763",Sports,161.63
"Blender Gray 740","Home & Kitchen",161.60
"Lamp GreenYellow 321","Home & Kitchen",161.11
"Dumbbell Teal 312",Sports,161.02
"Socks CadetBlue 244",Fashion,160.70
"Dumbbell MediumPurple 279",Sports,160.32
"Yoga Mat OldLace 793",Sports,160.11
"Tennis Racket Azure 134",Sports,159.68
"Tennis Racket HoneyDew 461",Sports,159.07
"Coffee Maker Violet 300","Home & Kitchen",159.05
"Yoga Mat MediumTurquoise 462",Sports,158.96
"Blender HotPink 301","Home & Kitchen",157.03
"Coffee Maker LightGoldenRodYellow 155","Home & Kitchen",157.00
"Jacket Cyan 894",Fashion,156.80
"T-shirt DarkMagenta 403",Fashion,156.69
"Vacuum Black 596","Home & Kitchen",156.42
"Socks SlateGray 217",Fashion,155.10
"Jacket LightPink 819",Fashion,154.29
"Vacuum DeepPink 742","Home & Kitchen",153.88
"Blender PowderBlue 308","Home & Kitchen",153.86
"Cycling Helmet Azure 386",Sports,152.13
"Coffee Maker Black 343","Home & Kitchen",152.05
"Dress LavenderBlush 957",Fashion,151.97
"Socks Red 515",Fashion,151.87
"Water Bottle RoyalBlue 540",Sports,151.20
"Sneakers Snow 881",Fashion,151.12
"Sneakers BlueViolet 288",Fashion,150.53
"Cycling Helmet DarkKhaki 165",Sports,150.16
"Cookware Cornsilk 630","Home & Kitchen",148.83
"Air Fryer RoyalBlue 882","Home & Kitchen",148.57
"Tennis Racket SteelBlue 344",Sports,148.54
"Sneakers Maroon 448",Fashion,147.52
"Blender MidnightBlue 854","Home & Kitchen",147.49
"Tennis Racket Thistle 293",Sports,147.16
"Jeans HoneyDew 694",Fashion,146.71
"Coffee Maker Moccasin 832","Home & Kitchen",146.65
"Blender Green 635","Home & Kitchen",146.11
"T-shirt ForestGreen 395",Fashion,145.99
"Cookware LawnGreen 526","Home & Kitchen",145.96
"Hoodie LightBlue 677",Fashion,145.69
"Jeans PaleVioletRed 140",Fashion,144.82
"Dress Lime 164",Fashion,144.47
"Yoga Mat Lavender 251",Sports,144.19
"Sneakers Black 569",Fashion,144.15
"Webcam LightBlue 848",Electronics,143.95
"Cycling Helmet LightSalmon 792",Sports,143.56
"T-shirt PapayaWhip 901",Fashion,143.21
"Water Bottle Crimson 945",Sports,142.92
"T-shirt OrangeRed 215",Fashion,142.71
"Vacuum Orchid 536","Home & Kitchen",142.62
"Hoodie LightGoldenRodYellow 967",Fashion,142.26
"Cycling Helmet LightSkyBlue 925",Sports,142.24
"Vacuum DarkTurquoise 440","Home & Kitchen",142.09
"Jacket Maroon 692",Fashion,140.74
"Monitor LemonChiffon 452",Electronics,140.38
"Tennis Racket BurlyWood 169",Sports,140.29
"Cookware DarkTurquoise 547","Home & Kitchen",139.22
"Blender Yellow 385","Home & Kitchen",138.99
"Dumbbell Azure 340",Sports,138.92
"Hoodie BlanchedAlmond 225",Fashion,138.66
"Jacket Chartreuse 237",Fashion,138.46
"Cycling Helmet SandyBrown 923",Sports,138.36
"Dress FloralWhite 158",Fashion,138.36
"Air Fryer RosyBrown 408","Home & Kitchen",138.19
"Cycling Helmet LightCoral 411",Sports,137.66
"Toaster Tan 468","Home & Kitchen",137.37
"Jacket OldLace 100",Fashion,136.67
"Hoodie CornflowerBlue 702",Fashion,136.56
"Hoodie Sienna 572",Fashion,135.97
"Jeans LemonChiffon 675",Fashion,135.25
"Dumbbell Navy 337",Sports,135.21
"Sneakers LightBlue 786",Fashion,132.74
"Tennis Racket Black 885",Sports,132.38
"Coffee Maker DeepSkyBlue 740","Home & Kitchen",132.06
"Socks GoldenRod 963",Fashion,131.78
"Coffee Maker DarkViolet 927","Home & Kitchen",131.76
"Dumbbell Violet 564",Sports,130.85
"Hoodie Violet 959",Fashion,130.56
"Dumbbell Orchid 993",Sports,130.03
"Dress OrangeRed 388",Fashion,129.85
"Dumbbell Maroon 243",Sports,129.69
"Coffee Maker Tomato 884","Home & Kitchen",128.97
"Socks Blue 822",Fashion,128.62
"Dumbbell MediumOrchid 520",Sports,128.61
"Toaster Green 287","Home & Kitchen",128.43
"Coffee Maker PaleGoldenRod 835","Home & Kitchen",128.31
"Cookware LawnGreen 100","Home & Kitchen",128.28
"Lamp Bisque 945","Home & Kitchen",127.56
"Mouse SeaGreen 388",Electronics,127.33
"T-shirt NavajoWhite 676",Fashion,127.26
"Water Bottle SkyBlue 156",Sports,127.17
"Mouse DarkOrchid 254",Electronics,126.90
"Socks DarkGreen 623",Fashion,125.26
"Sneakers WhiteSmoke 684",Fashion,124.96
"Blender MediumVioletRed 960","Home & Kitchen",123.94
"Tennis Racket PaleGreen 443",Sports,123.64
"Cookware Khaki 557","Home & Kitchen",123.63
"Toaster Teal 142","Home & Kitchen",123.51
"Smartwatch DarkBlue 961",Electronics,123.05
"Speaker Gold 153",Electronics,122.51
"Sneakers Indigo 476",Fashion,122.42
"Cookware RosyBrown 842","Home & Kitchen",122.23
"Vacuum DarkOrchid 733","Home & Kitchen",121.67
"Jeans LightGray 273",Fashion,121.13
"Water Bottle RoyalBlue 112",Sports,119.89
"Dress LightCoral 804",Fashion,119.57
"Conditioner Azure 765",Beauty,119.56
"Serum RosyBrown 573",Beauty,119.34
"Sneakers Snow 121",Fashion,119.20
"Serum Green 626",Beauty,118.88
"Toaster Thistle 805","Home & Kitchen",118.73
"Serum Azure 850",Beauty,118.14
"Toaster DarkKhaki 297","Home & Kitchen",117.99
"Lipstick MintCream 522",Beauty,117.79
"Jeans HoneyDew 360",Fashion,117.47
"Sneakers PapayaWhip 242",Fashion,117.24
"Shampoo Cornsilk 204",Beauty,117.14
"Serum Gainsboro 717",Beauty,117.10
"Cookware MistyRose 969","Home & Kitchen",117.01
"Sunscreen Orchid 322",Beauty,116.77
"Socks Orange 300",Fashion,116.17
"Blender Teal 861","Home & Kitchen",116.15
"Dress BlanchedAlmond 934",Fashion,116.15
"Serum LightGreen 493",Beauty,115.67
"Lamp Sienna 733","Home & Kitchen",115.20
"Tennis Racket LightBlue 418",Sports,115.06
"Cookware MintCream 201","Home & Kitchen",114.98
"Smartwatch Coral 455",Electronics,114.67
"Sneakers LemonChiffon 468",Fashion,114.54
"Blender YellowGreen 216","Home & Kitchen",114.20
"Tennis Racket Tan 512",Sports,113.95
"Jeans DarkSalmon 951",Fashion,113.82
"Lipstick MediumSlateBlue 310",Beauty,113.60
"SSD Pink 127",Electronics,113.56
"Sunscreen BlueViolet 319",Beauty,113.55
"Lipstick Indigo 153",Beauty,113.43
"T-shirt Peru 273",Fashion,113.27
"Coffee Maker DarkTurquoise 557","Home & Kitchen",112.18
"T-shirt RoyalBlue 890",Fashion,112.18
"Lipstick Aquamarine 196",Beauty,112.12
"Yoga Mat SlateGray 628",Sports,112.00
"Lipstick Violet 770",Beauty,111.97
"Jeans PaleVioletRed 853",Fashion,111.92
"Sneakers GreenYellow 927",Fashion,111.38
"Sneakers Navy 755",Fashion,111.09
"Lipstick Plum 961",Beauty,110.99
"Air Fryer Cyan 674","Home & Kitchen",110.84
"Mouse MediumVioletRed 223",Electronics,110.69
"Lipstick Ivory 498",Beauty,110.22
"Lipstick LightCoral 771",Beauty,109.91
"Tennis Racket DarkOliveGreen 161",Sports,109.49
"Vacuum DodgerBlue 485","Home & Kitchen",109.33
"Sneakers DarkSalmon 534",Fashion,109.25
"Sunscreen Sienna 243",Beauty,109.17
"Coffee Maker LimeGreen 758","Home & Kitchen",109.16
"Conditioner PaleGreen 488",Beauty,108.64
"Speaker Magenta 552",Electronics,108.17
"Conditioner Peru 532",Beauty,107.56
"Water Bottle Gray 101",Sports,107.54
"Sunscreen Azure 988",Beauty,107.50
"Toaster MediumSlateBlue 575","Home & Kitchen",107.15
"Yoga Mat DarkSlateBlue 487",Sports,106.94
"Lipstick IndianRed 370",Beauty,106.51
"Hoodie DarkGoldenRod 230",Fashion,106.28
"Moisturizer SlateBlue 366",Beauty,106.21
"Vacuum MediumOrchid 467","Home & Kitchen",106.08
"Tennis Racket Lavender 602",Sports,105.68
"Jacket CadetBlue 928",Fashion,104.72
"Socks Beige 958",Fashion,104.60
"Coffee Maker LightGoldenRodYellow 421","Home & Kitchen",104.40
"Sunscreen DarkSlateGray 960",Beauty,104.23
"Jacket DarkSalmon 406",Fashion,103.91
"Moisturizer PaleGreen 842",Beauty,103.62
"Shampoo Thistle 947",Beauty,103.26
"Water Bottle LimeGreen 999",Sports,103.04
"Toaster Orange 540","Home & Kitchen",102.76
"Cycling Helmet CornflowerBlue 227",Sports,102.58
"Conditioner SaddleBrown 768",Beauty,102.29
"Hoodie PeachPuff 461",Fashion,101.89
"Serum DodgerBlue 263",Beauty,101.80
"T-shirt LightSteelBlue 364",Fashion,101.71
"Shampoo MediumTurquoise 528",Beauty,101.67
"Jeans Green 132",Fashion,101.54
"Lipstick Tan 809",Beauty,101.46
"Yoga Mat Salmon 216",Sports,100.88
"Sunscreen LemonChiffon 115",Beauty,100.60
"Lipstick MediumTurquoise 523",Beauty,100.53
"Moisturizer DarkBlue 947",Beauty,100.07
"Lipstick Chartreuse 840",Beauty,100.05
