Order_id,Customer_id,Order Date,Discount, Subtotal , Total ,Country,Device,Source,Month,Year
45,16286,2023-09-09,$5 ,$39.58 ,$37.60 ,US,Desktop,Email,Sep,2023
46,2068,2025-01-28,$5 ,$320.97 ,$304.92 ,JP,Mobile,Paid,Jan,2025
47,3540,2024-07-19,$5 ,$46.78 ,$44.44 ,IN,Mobile,Email,Jul,2024
48,2303,2021-11-26,$10 ,$53.05 ,$47.74 ,ES,Mobile,Social,Nov,2021
49,14378,2020-01-17,$15 ,$46.78 ,$39.76 ,AE,Tablet,Email,Jan,2020
50,1398,2020-04-26,$20 ,$83.10 ,$66.48 ,US,Tablet,Direct,Apr,2020
51,3240,2022-03-09,$5 ,$89.51 ,$85.03 ,FR,Mobile,Direct,Mar,2022
52,19199,2020-08-26,$10 ,$249.90 ,$224.91 ,CA,Desktop,Email,Aug,2020
53,1233,2020-08-30,$20 ,$52.91 ,$42.33 ,IN,Mobile,Direct,Aug,2020
54,12908,2022-07-31,$0 ,$247.72 ,$247.72 ,MX,Mobile,Direct,Jul,2022
55,4933,2020-10-12,$15 ,$19.89 ,$16.91 ,IN,Desktop,Paid,Oct,2020
56,15900,2023-10-20,$20 ,$116.16 ,$92.93 ,SG,Desktop,Paid,Oct,2023
57,16181,2020-04-15,$20 ,$115.03 ,$92.02 ,US,Mobile,Direct,Apr,2020
58,1727,2021-09-05,$10 ,$81.98 ,$73.78 ,CA,Mobile,Paid,Sep,2021
59,10778,2023-06-22,$0 ,$88.58 ,$88.58 ,IN,Desktop,Direct,Jun,2023
60,8099,2024-08-23,$0 ,$567.53 ,$567.53 ,BR,Mobile,Organic,Aug,2024
61,9416,2022-06-02,$0 ,$35.74 ,$35.74 ,FR,Mobile,Referral,Jun,2022
62,17593,2022-12-07,$5 ,$255.56 ,$242.78 ,JP,Desktop,Organic,Dec,2022
63,9297,2024-02-17,$20 ,$20.57 ,$16.46 ,US,Desktop,Organic,Feb,2024
64,4821,2024-09-20,$20 ,$43.27 ,$34.62 ,US,Mobile,Organic,Sep,2024
65,19024,2025-01-28,$5 ,$34.22 ,$32.51 ,US,Desktop,Organic,Jan,2025
66,9816,2021-05-12,$0 ,$165.82 ,$165.82 ,SE,Mobile,Paid,May,2021
67,16898,2024-12-03,$0 ,$85.54 ,$85.54 ,AU,Desktop,Direct,Dec,2024
68,11703,2024-05-23,$10 ,$97.78 ,$88.00 ,GB,Mobile,Social,May,2024
69,18014,2025-08-23,$0 ,$134.41 ,$134.41 ,FR,Mobile,Direct,Aug,2025
70,6404,2022-08-25,$0 ,$163.23 ,$163.23 ,FR,Mobile,Organic,Aug,2022
71,17829,2023-06-23,$20 ,$79.62 ,$63.70 ,CA,Desktop,Organic,Jun,2023
72,12725,2022-06-25,$20 ,$27.05 ,$21.64 ,MX,Mobile,Organic,Jun,2022
73,18250,2020-07-16,$0 ,$176.61 ,$176.61 ,CA,Desktop,Direct,Jul,2020
74,6338,2021-04-01,$0 ,$39.03 ,$39.03 ,DE,Mobile,Social,Apr,2021
75,1865,2023-04-19,$20 ,$524.05 ,$419.24 ,ZA,Mobile,Direct,Apr,2023
76,554,2024-10-28,$5 ,$534.98 ,$508.23 ,FR,Mobile,Email,Oct,2024
77,16448,2020-10-23,$5 ,$603.25 ,$573.09 ,BR,Mobile,Referral,Oct,2020
78,7140,2020-08-01,$0 ,$36.07 ,$36.07 ,US,Mobile,Referral,Aug,2020
79,8567,2021-02-19,$0 ,$317.80 ,$317.80 ,CA,Mobile,Direct,Feb,2021
80,5958,2025-05-29,$0 ,$29.12 ,$29.12 ,US,Desktop,Organic,May,2025
81,1780,2020-11-03,$0 ,$116.76 ,$116.76 ,MX,Desktop,Social,Nov,2020
82,18691,2020-02-04,$10 ,$39.46 ,$35.51 ,IN,Mobile,Organic,Feb,2020
83,18482,2020-05-27,$5 ,$17.19 ,$16.33 ,CA,Mobile,Paid,May,2020
84,19039,2023-12-31,$5 ,$50.15 ,$47.64 ,SE,Desktop,Social,Dec,2023
85,12939,2025-04-28,$0 ,$43.05 ,$43.05 ,AU,Mobile,Social,Apr,2025
86,11675,2023-08-11,$0 ,$371.39 ,$371.39 ,SG,Tablet,Direct,Aug,2023
87,12175,2023-02-01,$15 ,$19.89 ,$16.91 ,MX,Mobile,Organic,Feb,2023
88,6032,2021-02-24,$5 ,$312.90 ,$297.25 ,NL,Tablet,Organic,Feb,2021
89,12069,2021-01-27,$15 ,$93.58 ,$79.54 ,IN,Mobile,Referral,Jan,2021
90,6111,2021-09-02,$15 ,$66.53 ,$56.55 ,IN,Tablet,Referral,Sep,2021
91,10450,2025-03-05,$20 ,$151.42 ,$121.14 ,NL,Desktop,Email,Mar,2025
92,9407,2021-04-05,$20 ,$47.41 ,$37.93 ,JP,Desktop,Organic,Apr,2021
93,5925,2024-11-01,$10 ,$483.34 ,$435.01 ,US,Mobile,Direct,Nov,2024
94,6369,2023-01-18,$20 ,$24.33 ,$19.46 ,DE,Tablet,Organic,Jan,2023
95,19484,2025-09-09,$0 ,$90.96 ,$90.96 ,MX,Desktop,Organic,Sep,2025
96,5418,2022-06-04,$20 ,$49.06 ,$39.25 ,DE,Mobile,Organic,Jun,2022
97,18429,2022-07-18,$0 ,$68.47 ,$68.47 ,PL,Mobile,Paid,Jul,2022
98,1729,2022-05-17,$0 ,$81.86 ,$81.86 ,US,Tablet,Organic,May,2022
99,9147,2024-05-19,$0 ,$61.97 ,$61.97 ,BR,Mobile,Organic,May,2024
100,16121,2023-03-29,$5 ,$62.27 ,$59.16 ,AU,Mobile,Email,Mar,2023
101,4443,2021-06-07,$0 ,$168.51 ,$168.51 ,JP,Desktop,Organic,Jun,2021
102,15915,2025-06-11,$0 ,$179.40 ,$179.40 ,NL,Mobile,Organic,Jun,2025
103,18133,2022-07-30,$20 ,$7.39 ,$5.91 ,BR,Tablet,Organic,Jul,2022
104,113,2025-04-04,$10 ,$56.54 ,$50.89 ,AU,Mobile,Email,Apr,2025
105,15521,2021-02-10,$0 ,$106.94 ,$106.94 ,US,Desktop,Direct,Feb,2021
106,1307,2024-06-29,$0 ,$12.97 ,$12.97 ,ES,Tablet,Organic,Jun,2024
107,18971,2020-01-26,$0 ,$46.47 ,$46.47 ,US,Mobile,Social,Jan,2020
108,7428,2022-02-08,$15 ,$71.35 ,$60.65 ,IN,Desktop,Direct,Feb,2022
109,14773,2025-07-29,$0 ,$147.81 ,$147.81 ,JP,Mobile,Organic,Jul,2025
110,18905,2023-09-24,$0 ,$368.92 ,$368.92 ,AU,Mobile,Direct,Sep,2023
111,1480,2020-06-28,$0 ,$206.08 ,$206.08 ,AE,Desktop,Email,Jun,2020
112,3677,2024-09-20,$15 ,$156.85 ,$133.32 ,GB,Mobile,Email,Sep,2024
113,6514,2022-03-14,$5 ,$208.93 ,$198.48 ,US,Desktop,Organic,Mar,2022
114,15139,2022-12-29,$10 ,$138.36 ,$124.52 ,JP,Mobile,Paid,Dec,2022
115,1901,2024-03-15,$10 ,$581.39 ,$523.25 ,DE,Mobile,Email,Mar,2024
116,19336,2024-08-09,$15 ,$369.22 ,$313.84 ,US,Desktop,Direct,Aug,2024
117,2852,2021-10-03,$15 ,$38.13 ,$32.41 ,US,Mobile,Social,Oct,2021
118,14482,2023-02-09,$0 ,$53.51 ,$53.51 ,ES,Desktop,Organic,Feb,2023
119,16995,2020-02-22,$15 ,$34.21 ,$29.08 ,GB,Desktop,Referral,Feb,2020
120,16412,2024-11-28,$5 ,$168.22 ,$159.81 ,GB,Mobile,Direct,Nov,2024
121,17992,2025-01-09,$0 ,$483.74 ,$483.74 ,US,Mobile,Direct,Jan,2025
122,12438,2021-08-25,$0 ,$169.54 ,$169.54 ,US,Desktop,Email,Aug,2021
123,3813,2022-09-11,$0 ,$47.58 ,$47.58 ,GB,Mobile,Organic,Sep,2022
124,11445,2025-07-31,$0 ,$19.35 ,$19.35 ,BR,Desktop,Paid,Jul,2025
125,4417,2022-05-08,$0 ,$13.71 ,$13.71 ,DE,Mobile,Email,May,2022
126,11586,2020-12-10,$20 ,$39.42 ,$31.54 ,US,Mobile,Referral,Dec,2020
127,12646,2024-10-17,$0 ,$11.74 ,$11.74 ,MX,Mobile,Organic,Oct,2024
128,5044,2020-08-08,$0 ,$121.24 ,$121.24 ,SG,Mobile,Email,Aug,2020
129,3043,2020-01-26,$0 ,$119.71 ,$119.71 ,NL,Tablet,Direct,Jan,2020
130,13517,2023-01-01,$5 ,$66.01 ,$62.71 ,JP,Desktop,Referral,Jan,2023
131,10258,2022-05-16,$10 ,$33.09 ,$29.78 ,US,Mobile,Organic,May,2022
132,12606,2021-01-24,$15 ,$21.83 ,$18.56 ,SG,Mobile,Direct,Jan,2021
133,12806,2025-05-07,$15 ,$94.89 ,$80.66 ,BR,Desktop,Direct,May,2025
134,528,2024-02-19,$5 ,$107.54 ,$102.16 ,US,Desktop,Organic,Feb,2024
135,12124,2023-12-13,$5 ,$250.28 ,$237.77 ,MX,Mobile,Direct,Dec,2023
136,12462,2024-12-26,$15 ,$44.80 ,$38.08 ,GB,Tablet,Organic,Dec,2024
137,4119,2025-07-17,$0 ,$12.23 ,$12.23 ,BR,Desktop,Direct,Jul,2025
138,9724,2025-06-02,$20 ,$28.01 ,$22.41 ,IN,Mobile,Referral,Jun,2025
139,12995,2024-07-11,$0 ,$20.02 ,$20.02 ,MX,Desktop,Organic,Jul,2024
140,8089,2023-05-29,$0 ,$86.84 ,$86.84 ,US,Mobile,Organic,May,2023
141,18709,2024-02-10,$0 ,$129.20 ,$129.20 ,MX,Mobile,Organic,Feb,2024
142,16959,2021-05-09,$20 ,$270.55 ,$216.44 ,DE,Desktop,Referral,May,2021
143,18702,2024-10-20,$0 ,$43.90 ,$43.90 ,US,Desktop,Direct,Oct,2024
144,11051,2025-04-12,$15 ,$162.23 ,$137.90 ,MX,Mobile,Referral,Apr,2025
145,16624,2020-08-22,$10 ,$49.46 ,$44.51 ,AE,Mobile,Referral,Aug,2020
146,13481,2022-09-14,$0 ,$45.43 ,$45.43 ,SG,Mobile,Referral,Sep,2022
147,4269,2024-04-14,$0 ,$171.77 ,$171.77 ,MX,Mobile,Direct,Apr,2024
148,7579,2022-02-15,$0 ,$126.04 ,$126.04 ,JP,Mobile,Organic,Feb,2022
149,18382,2025-04-27,$0 ,$153.59 ,$153.59 ,DE,Desktop,Organic,Apr,2025
150,6720,2020-02-29,$5 ,$22.96 ,$21.81 ,ES,Desktop,Organic,Feb,2020
151,17527,2023-01-11,$0 ,"$1,356.17 ","$1,356.17 ",NL,Mobile,Organic,Jan,2023
152,18494,2024-10-12,$0 ,$6.43 ,$6.43 ,DE,Mobile,Paid,Oct,2024
153,17613,2021-03-06,$0 ,$115.20 ,$115.20 ,US,Desktop,Social,Mar,2021
154,14066,2022-02-13,$5 ,$17.27 ,$16.41 ,NL,Tablet,Paid,Feb,2022
155,18763,2025-05-11,$0 ,$43.16 ,$43.16 ,NL,Desktop,Social,May,2025
156,653,2020-09-12,$20 ,$338.19 ,$270.55 ,MX,Desktop,Organic,Sep,2020
157,4100,2023-04-30,$0 ,$332.09 ,$332.09 ,IN,Mobile,Organic,Apr,2023
158,16856,2023-12-27,$5 ,$244.46 ,$232.24 ,US,Desktop,Paid,Dec,2023
159,17670,2023-09-15,$15 ,$147.52 ,$125.39 ,CA,Desktop,Direct,Sep,2023
160,10448,2020-07-19,$0 ,$10.23 ,$10.23 ,FR,Mobile,Direct,Jul,2020
161,13862,2020-05-30,$5 ,$24.77 ,$23.53 ,US,Mobile,Social,May,2020
162,17505,2022-05-18,$15 ,$367.56 ,$312.43 ,SG,Desktop,Social,May,2022
163,13394,2022-02-07,$5 ,$119.20 ,$113.24 ,DE,Mobile,Direct,Feb,2022
164,1827,2024-02-19,$0 ,$287.18 ,$287.18 ,CA,Mobile,Paid,Feb,2024
165,15569,2025-03-31,$20 ,$10.04 ,$8.03 ,US,Desktop,Organic,Mar,2025
166,9753,2025-04-14,$20 ,$61.32 ,$49.06 ,ES,Desktop,Organic,Apr,2025
167,3519,2024-09-24,$20 ,$8.66 ,$6.93 ,MX,Mobile,Organic,Sep,2024
168,17264,2024-03-04,$10 ,$163.75 ,$147.38 ,AU,Tablet,Social,Mar,2024
169,17104,2020-10-20,$15 ,$42.51 ,$36.13 ,DE,Mobile,Direct,Oct,2020
170,2631,2023-10-23,$0 ,$26.76 ,$26.76 ,IN,Desktop,Organic,Oct,2023
171,15784,2021-12-29,$0 ,$135.25 ,$135.25 ,GB,Mobile,Organic,Dec,2021
172,17503,2021-11-11,$20 ,$74.00 ,$59.20 ,JP,Mobile,Organic,Nov,2021
173,13909,2020-01-18,$15 ,$92.90 ,$78.97 ,JP,Desktop,Organic,Jan,2020
174,11361,2024-12-15,$20 ,$7.22 ,$5.78 ,CA,Desktop,Organic,Dec,2024
175,6434,2025-08-28,$15 ,$26.68 ,$22.68 ,CA,Mobile,Direct,Aug,2025
176,5189,2020-12-02,$10 ,$117.96 ,$106.16 ,MX,Mobile,Paid,Dec,2020
177,1968,2020-04-11,$10 ,$269.14 ,$242.23 ,JP,Desktop,Organic,Apr,2020
178,12659,2022-08-07,$0 ,$8.39 ,$8.39 ,DE,Tablet,Direct,Aug,2022
179,10120,2022-06-01,$5 ,$129.21 ,$122.75 ,MX,Mobile,Email,Jun,2022
180,14849,2024-04-15,$0 ,$57.62 ,$57.62 ,CA,Mobile,Organic,Apr,2024
181,13919,2024-12-29,$20 ,$340.42 ,$272.34 ,ZA,Tablet,Direct,Dec,2024
182,3702,2023-12-04,$15 ,$46.78 ,$39.76 ,CA,Mobile,Direct,Dec,2023
183,14228,2020-03-09,$0 ,$317.43 ,$317.43 ,US,Mobile,Organic,Mar,2020
184,15747,2021-12-18,$0 ,$58.99 ,$58.99 ,GB,Tablet,Direct,Dec,2021
185,16329,2024-12-13,$20 ,$153.38 ,$122.70 ,PL,Desktop,Organic,Dec,2024
186,15864,2022-09-08,$0 ,$55.05 ,$55.05 ,AU,Mobile,Direct,Sep,2022
187,12665,2021-03-13,$0 ,$223.67 ,$223.67 ,SG,Desktop,Organic,Mar,2021
188,14689,2023-09-30,$0 ,$313.47 ,$313.47 ,ES,Mobile,Paid,Sep,2023
189,10663,2022-09-23,$0 ,$180.33 ,$180.33 ,GB,Mobile,Paid,Sep,2022
190,3296,2023-04-04,$20 ,$183.25 ,$146.60 ,FR,Mobile,Direct,Apr,2023
191,12964,2021-09-04,$20 ,$38.71 ,$30.97 ,ZA,Desktop,Paid,Sep,2021
192,16025,2023-10-19,$0 ,$89.95 ,$89.95 ,DE,Desktop,Paid,Oct,2023
193,19236,2023-01-15,$15 ,$138.70 ,$117.89 ,US,Mobile,Direct,Jan,2023
194,10299,2022-06-07,$5 ,$382.89 ,$363.75 ,PL,Mobile,Social,Jun,2022
195,9933,2025-04-21,$10 ,$201.56 ,$181.40 ,ES,Mobile,Organic,Apr,2025
196,4934,2021-01-23,$0 ,$25.17 ,$25.17 ,IN,Tablet,Paid,Jan,2021
197,595,2020-04-18,$15 ,$73.09 ,$62.13 ,ZA,Mobile,Direct,Apr,2020
198,5303,2021-08-02,$5 ,$77.64 ,$73.76 ,IN,Mobile,Social,Aug,2021
199,14376,2020-07-19,$0 ,$44.44 ,$44.44 ,US,Mobile,Referral,Jul,2020
200,6960,2021-01-21,$5 ,$6.96 ,$6.61 ,GB,Mobile,Email,Jan,2021
201,1304,2022-09-07,$0 ,$79.51 ,$79.51 ,MX,Mobile,Direct,Sep,2022
202,1722,2023-01-04,$20 ,$142.71 ,$114.17 ,PL,Desktop,Referral,Jan,2023
203,13058,2020-10-22,$20 ,$134.61 ,$107.69 ,IN,Desktop,Social,Oct,2020
204,3496,2020-09-17,$20 ,$44.80 ,$35.84 ,US,Mobile,Referral,Sep,2020
205,17843,2025-07-31,$15 ,$43.65 ,$37.10 ,ES,Mobile,Social,Jul,2025
206,18921,2020-10-02,$0 ,$121.81 ,$121.81 ,US,Desktop,Organic,Oct,2020
207,19602,2020-02-23,$5 ,$133.43 ,$126.76 ,AU,Desktop,Direct,Feb,2020
208,17794,2024-04-23,$5 ,$211.86 ,$201.27 ,AU,Mobile,Direct,Apr,2024
209,8090,2021-07-05,$10 ,$109.39 ,$98.45 ,US,Mobile,Email,Jul,2021
210,11539,2025-02-20,$0 ,$132.92 ,$132.92 ,BR,Desktop,Direct,Feb,2025
211,18382,2023-02-04,$15 ,$416.06 ,$353.65 ,DE,Mobile,Social,Feb,2023
212,18754,2020-12-28,$15 ,$165.54 ,$140.71 ,BR,Desktop,Referral,Dec,2020
213,12884,2023-04-18,$5 ,$31.09 ,$29.54 ,IN,Mobile,Email,Apr,2023
214,11026,2024-07-18,$5 ,$31.93 ,$30.33 ,BR,Mobile,Direct,Jul,2024
215,15510,2020-01-30,$5 ,$220.35 ,$209.33 ,GB,Mobile,Social,Jan,2020
216,510,2021-09-30,$15 ,$36.86 ,$31.33 ,CA,Mobile,Paid,Sep,2021
217,19803,2024-12-21,$0 ,$12.64 ,$12.64 ,JP,Desktop,Organic,Dec,2024
218,1013,2025-05-23,$0 ,$109.26 ,$109.26 ,MX,Mobile,Organic,May,2025
219,16754,2021-10-09,$0 ,$117.78 ,$117.78 ,GB,Mobile,Direct,Oct,2021
220,10528,2021-05-30,$20 ,$17.83 ,$14.26 ,AU,Tablet,Email,May,2021
221,9207,2025-04-24,$0 ,$82.21 ,$82.21 ,CA,Desktop,Organic,Apr,2025
222,12705,2023-10-10,$0 ,$168.25 ,$168.25 ,BR,Mobile,Organic,Oct,2023
223,2760,2023-06-05,$10 ,$43.05 ,$38.74 ,AU,Mobile,Direct,Jun,2023
224,19847,2020-02-05,$15 ,$59.24 ,$50.35 ,DE,Desktop,Social,Feb,2020
225,902,2021-03-27,$15 ,$64.68 ,$54.98 ,NL,Desktop,Organic,Mar,2021
226,4535,2023-10-04,$0 ,$228.52 ,$228.52 ,GB,Mobile,Organic,Oct,2023
227,12636,2023-12-20,$0 ,$39.67 ,$39.67 ,GB,Mobile,Social,Dec,2023
228,12419,2023-08-03,$15 ,$330.44 ,$280.87 ,DE,Mobile,Direct,Aug,2023
229,17789,2024-12-30,$10 ,$84.91 ,$76.42 ,DE,Mobile,Direct,Dec,2024
230,8155,2021-01-09,$0 ,$28.98 ,$28.98 ,BR,Desktop,Direct,Jan,2021
231,14464,2021-01-13,$10 ,$12.64 ,$11.38 ,DE,Desktop,Organic,Jan,2021
232,9708,2022-07-01,$0 ,$80.86 ,$80.86 ,ZA,Tablet,Social,Jul,2022
233,5385,2025-06-29,$0 ,$25.66 ,$25.66 ,GB,Desktop,Email,Jun,2025
234,9340,2024-12-26,$5 ,$8.15 ,$7.74 ,BR,Mobile,Social,Dec,2024
235,6103,2022-09-23,$5 ,$197.17 ,$187.31 ,NL,Desktop,Organic,Sep,2022
236,13949,2020-12-17,$5 ,$200.25 ,$190.24 ,BR,Desktop,Direct,Dec,2020
237,4867,2025-04-28,$20 ,$30.44 ,$24.35 ,SE,Desktop,Paid,Apr,2025
238,6734,2021-06-22,$15 ,$200.66 ,$170.56 ,US,Desktop,Direct,Jun,2021
239,16522,2022-10-22,$20 ,$26.35 ,$21.08 ,US,Tablet,Organic,Oct,2022
240,2800,2022-03-22,$0 ,$102.82 ,$102.82 ,DE,Desktop,Organic,Mar,2022
241,16002,2020-11-21,$15 ,$92.29 ,$78.45 ,PL,Mobile,Organic,Nov,2020
242,5224,2024-07-27,$20 ,$111.44 ,$89.15 ,BR,Desktop,Organic,Jul,2024
243,1444,2020-11-21,$0 ,$132.52 ,$132.52 ,SE,Mobile,Referral,Nov,2020
244,10252,2024-06-15,$20 ,$31.25 ,$25.00 ,ES,Desktop,Organic,Jun,2024
245,3177,2025-03-06,$15 ,$479.89 ,$407.91 ,IN,Mobile,Email,Mar,2025
246,11073,2022-04-09,$0 ,$96.42 ,$96.42 ,MX,Mobile,Organic,Apr,2022
247,1115,2025-06-18,$15 ,$20.23 ,$17.20 ,IN,Mobile,Direct,Jun,2025
248,1189,2020-12-14,$15 ,$311.94 ,$265.15 ,NL,Desktop,Direct,Dec,2020
249,5761,2021-10-20,$20 ,$70.83 ,$56.66 ,CA,Mobile,Paid,Oct,2021
250,10502,2023-03-25,$10 ,$997.99 ,$898.19 ,FR,Mobile,Direct,Mar,2023
251,11971,2025-02-09,$10 ,$38.18 ,$34.36 ,GB,Mobile,Organic,Feb,2025
252,14132,2020-04-28,$0 ,$194.13 ,$194.13 ,GB,Desktop,Organic,Apr,2020
253,9617,2025-08-05,$15 ,"$1,237.93 ","$1,052.24 ",ZA,Desktop,Organic,Aug,2025
254,3116,2022-09-22,$10 ,$33.80 ,$30.42 ,FR,Mobile,Organic,Sep,2022
255,5754,2020-02-01,$20 ,$292.30 ,$233.84 ,GB,Mobile,Organic,Feb,2020
256,11816,2021-06-12,$15 ,$11.72 ,$9.96 ,AE,Mobile,Organic,Jun,2021
257,4641,2024-03-16,$10 ,$45.85 ,$41.27 ,SE,Mobile,Organic,Mar,2024
258,14395,2023-06-16,$10 ,$94.15 ,$84.73 ,BR,Mobile,Organic,Jun,2023
259,7761,2020-01-14,$15 ,$64.73 ,$55.02 ,US,Desktop,Direct,Jan,2020
260,4631,2021-04-16,$0 ,$760.25 ,$760.25 ,SG,Mobile,Organic,Apr,2021
261,11826,2024-02-13,$15 ,$105.82 ,$89.95 ,JP,Mobile,Direct,Feb,2024
262,6055,2024-11-11,$15 ,$32.54 ,$27.66 ,IN,Mobile,Organic,Nov,2024
263,847,2022-01-05,$5 ,$61.51 ,$58.43 ,ZA,Mobile,Email,Jan,2022
264,10715,2022-03-18,$0 ,$171.64 ,$171.64 ,CA,Desktop,Direct,Mar,2022
265,12058,2024-06-26,$5 ,$49.92 ,$47.42 ,US,Tablet,Direct,Jun,2024
266,8689,2023-10-29,$20 ,$233.63 ,$186.90 ,SG,Mobile,Paid,Oct,2023
267,15127,2021-09-04,$10 ,$31.20 ,$28.08 ,AU,Mobile,Paid,Sep,2021
268,17986,2020-12-25,$5 ,$45.70 ,$43.41 ,US,Mobile,Organic,Dec,2020
269,14283,2025-10-21,$0 ,$600.03 ,$600.03 ,ES,Mobile,Organic,Oct,2025
270,12854,2023-04-06,$20 ,$761.24 ,$608.99 ,NL,Mobile,Paid,Apr,2023
271,3879,2021-10-16,$20 ,$31.71 ,$25.37 ,SE,Desktop,Direct,Oct,2021
272,4986,2023-04-05,$10 ,$550.64 ,$495.58 ,SG,Mobile,Email,Apr,2023
273,19945,2020-12-11,$10 ,$202.67 ,$182.40 ,IN,Tablet,Referral,Dec,2020
274,18940,2022-05-23,$0 ,$224.95 ,$224.95 ,FR,Mobile,Organic,May,2022
275,17297,2023-03-24,$20 ,$101.54 ,$81.23 ,CA,Mobile,Organic,Mar,2023
276,9833,2024-03-03,$0 ,$53.46 ,$53.46 ,FR,Desktop,Direct,Mar,2024
277,7778,2024-10-05,$5 ,$64.99 ,$61.74 ,SG,Mobile,Email,Oct,2024
278,173,2021-08-09,$20 ,$148.11 ,$118.49 ,AU,Mobile,Paid,Aug,2021
279,2503,2021-09-20,$0 ,$78.85 ,$78.85 ,US,Mobile,Direct,Sep,2021
280,4859,2024-05-20,$20 ,$282.65 ,$226.12 ,BR,Mobile,Organic,May,2024
